Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Actinopterygii,Cyprinodontiformes,Poecilidae,Poecilia,formosa,Asynaptic,Female,46,,,"Dedukh, D., Da Cruz, I., Kneitz, S., Marta, A., Ormanns, J., Tichopád, T., Lu, Y., Alsheimer, M., Janko, K. and Schartl, M., 2022. Achiasmatic meiosis in the unisexual Amazon molly, Poecilia formosa. Chromosome Research, 30(4), pp.443-457."
Animalia,Amphibia,Anura,Glandirana,Rana,esculenta,Asynaptic,,26,,,"Bucci, S., Ragghianti, M., Mancino, G., Berger, L., Hotz, H. and Uzzell, T., 1990. Lampbrush and mitotic chromosomes of the hemiclonally reproducing hybrid Rana esculenta and its parental species. Journal of Experimental Zoology, 255(1), pp.37-56."
Animalia,Amphibia,Anura,Glandirana,Rana,rugosa,Achiasmatic,Female,,ZW,ZW,"Miura, I., Ohtani, H., Kashiwagi, A., Hanada, H. and Nakamura, M., 1996. Structural differences between XX and ZW sex lampbrush chromosomes in Rana rugosa females (Anura: Ranidae). Chromosoma, 105(4), pp.237-241."
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus ,Asynaptic,Both,24,XY,XY,"Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom)."
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus carnifex,Asynaptic,Female,,,,"Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185."
Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Asynaptic,Female,,,,"Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185."
Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Asynaptic,Both,24,XY,XY,"Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom)."
Animalia,Arachnida,Araneae,Antrodiaetidae,Aliatypus,californicus,Achiasmatic,Male,27,X0,XO,"Král, J., Ko?ínková, T., Krkavcová, L., Musilová, J., Forman, M., Herrera, I.M.Á., Haddad, C.R., Vítková, M., Henriques, S., Vargas, J.G.P. and Hedin, M., 2013. Evolution of karyotype, sex chromosomes, and meiosis in mygalomorph spiders (Araneae: Mygalomorphae). Biological Journal of the Linnean Society, 109(2), pp.377-408."
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,albolineata,Achiasmatic,Male ,20,XY,XY,"Král, J., Musilová, J., Št’áhlavský, F., ?ezá?, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880."
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,canities,Achiasmatic,Male ,16,XY,XY,"Král, J., Musilová, J., Št’áhlavský, F., ?ezá?, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880."
