Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,NCBI_Standardized_Name
Animalia,Actinopterygii,Cyprinodontiformes,Poecilidae,Poecilia,formosa,Asynaptic Sex Chromosomes,Female,46,NA,NA,"Dedukh, D., Da Cruz, I., Kneitz, S., Marta, A., Ormanns, J., Tichopád, T., Lu, Y., Alsheimer, M., Janko, K. and Schartl, M., 2022. Achiasmatic meiosis in the unisexual Amazon molly, Poecilia formosa. Chromosome Research, 30(4), pp.443-457.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poecilia formosa
Animalia,Amphibia,Anura,Glandirana,Rana,esculenta,Asynaptic Sex Chromosomes,NA,26,NA,NA,"Bucci, S., Ragghianti, M., Mancino, G., Berger, L., Hotz, H. and Uzzell, T., 1990. Lampbrush and mitotic chromosomes of the hemiclonally reproducing hybrid Rana esculenta and its parental species. Journal of Experimental Zoology, 255(1), pp.37-56.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Amphibia,Anura,Glandirana,Rana,rugosa,Achiasmatic Sex Chromosomes,Female,26,ZW,ZW,"Miura, I., Ohtani, H., Kashiwagi, A., Hanada, H. and Nakamura, M., 1996. Structural differences between XX and ZW sex lampbrush chromosomes in Rana rugosa females (Anura: Ranidae). Chromosoma, 105(4), pp.237-241.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glandirana rugosa
Animalia,Amphibia,Anura,Glandirana,Rana,rugosa,Achiasmatic Sex Chromosomes,Male,26,XY,XY,"Katsura, Y., Shaji, D., Matsubara, K., Kajitani, R., Ezaz, T., & Miura, I. (2026). Shared Origin of Y and Z Chromosomes in the Turnover of XY and ZW Systems in the Frog Glandirana rugosa. Biomolecules, 16(2), 281. https://doi.org/10.3390/biom16020281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glandirana rugosa
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus,Asynaptic Sex Chromosomes,Both,24,XY,XY,"Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triturus cristatus
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus carnifex,Asynaptic Sex Chromosomes,Female,NA,NA,NA,"Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Asynaptic Sex Chromosomes,Female,NA,NA,NA,"Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triturus marmoratus
Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Asynaptic Sex Chromosomes,Both,24,XY,XY,"Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triturus marmoratus
Animalia,Arachnida,Araneae,Antrodiaetidae,Aliatypus,californicus,Achiasmatic Meiosis,Male,28,X0,XO,"Král, J., Kořínková, T., Krkavcová, L., Musilová, J., Forman, M., Herrera, I.M.Á., Haddad, C.R., Vítková, M., Henriques, S., Vargas, J.G.P. and Hedin, M., 2013. Evolution of karyotype, sex chromosomes, and meiosis in mygalomorph spiders (Araneae: Mygalomorphae). Biological Journal of the Linnean Society, 109(2), pp.377-408.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aliatypus californicus
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,albolineata,Achiasmatic Meiosis,Male,20,XY,XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diguetia albolineata
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,canities,Achiasmatic Meiosis,Male,16,XY,XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diguetia canities
Animalia,Arachnida,Araneae,Drymusidae,Drymusa,capensis,Achiasmatic Meiosis,Male,38,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Izithunzi capense
Animalia,Arachnida,Araneae,Dysderidae,Dysdera,crocota,Achiasmatic Meiosis,Male,10,XO,XO,"Gil, S.G.R., Mola, L.M., Papeschi, A.G. and Scioscia, C.L., 2002. Cytogenetic heterogeneity in common haplogyne spiders from Argentina (Arachnida, Araneae). The Journal of Arachnology, 30(1), pp.47-56.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dysdera crocata
Animalia,Arachnida,Araneae,Euagridae,Euagrus,lynceus,Achiasmatic Meiosis,Male,60,X1X2X3X4X50,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Araneae,Filistatidae,Filistata,insidiatrix,Achiasmatic Meiosis,Male,34,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filistata insidiatrix
Animalia,Arachnida,Araneae,Hypochilidae,Hypochilus,pococki,Achiasmatic Meiosis,Male,NA,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hypochilus pococki
Animalia,Arachnida,Araneae,Pholcidae,Holocnemus,caudatus,Achiasmatic Meiosis,Male,24,X0,XO,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holocnemus caudatus
